#separator:tab
#html:true
What is a Machine Learning?	ML is a component of AI, it is producing knowledge from data, learning a function f: X--&gt;Y
There are 3 main categories for ML problems:	"1. Supervised Learning
<br>&nbsp; &nbsp; &nbsp; &nbsp; Classification
<br>&nbsp; &nbsp; &nbsp; &nbsp; Regression
<br>2. Unsupervised Learning
<br>3. Reinforcement Learning"
What is a <b>Supervised Learning?</b>	"is a set of problems in which the dataset is formed by a
<br>set of pairs input-output. So, if I take an element from X I know the
<br>corresponding value in Y. So, X can be continuous or discrete, also Y.
<br>According to the different kind of set we have different names."
The difference between Classification and Regression in Supervised Learning	"Classification involves learning a function with a finite codomain, where the goal is to assign input instances to predefined classes. Regression, on the other hand, aims to approximate real-valued functions, where the output domain is infinite.<br><img src=""paste-330714172cbe28bdcdddec7e5c4ba7a3804c4dcc.jpg"">"
<div>Describe the nature of Unsupervised Learning.</div>	"<div><div><div><div><div><div><div><div><div><div><div><div><div>Unsupervised Learning involves only input values without corresponding labels in the codomain. Despite lacking explicit output labels, knowledge can still be extracted, such as identifying clusters, estimating density, or other statistical parameters. This type of analysis is often combined with classification tasks to enhance understanding.</div></div></div></div><div><div><div></div><div></div></div></div></div></div></div></div></div></div></div></div></div><div><div><div><img src=""paste-69a17b6937279bc630ace7612e97dd70671eacfb.jpg""><br></div></div></div>"
<div>Explain the concept of Reinforcement Learning.</div><br>	"Reinforcement Learning is employed in dynamic systems where the goal is to learn a function mapping a set of possible states �<span style=""font-style: italic;"">S</span> to actions and rewards, known as a transition policy. The data consists of sequences of actions and states, with associated values indicating the quality of each ""episode."" In essence, the agent learns to make optimal choices in varying situations over time.<img src=""paste-f7b0538de15f2eb2a3756a06e9c49dfd2de4a420.jpg"">"
Explain the concept of target function	"In machine learning, the target function c: X → Y&nbsp;represents the function we aim to learn, where <span style=""font-style: italic;"">X</span> is the instance space (input set) containing all possible inputs.<br>Each instance <span style=""font-style: italic;"">x</span>∈<span style=""font-style: italic;"">X</span> corresponds to a particular input."
explain dataset	[latex]The dataset \( D = \{(x_i, c(x_i))\} \) comprises pairs where each \( x_i \) is an instance from \( X \) and \( c(x_i) \) is the corresponding target function value, computable only for instances in the dataset.[/latex]
explain hypothesis space	"[latex]The hypothesis space \( H \) encompasses all possible functions that can be computed, with \( h \in H \) representing a hypothesis approximating the target function.
<br>[/latex]"
explain estimation in the context of machine learning	[latex]\( h(x) \) denotes the estimation of \( h \) over \( x \) (predicted value), and the objective is to ensure that \( h(x) \) closely resembles \( c(x) \), especially for values not in the dataset.[/latex]
"What defines consistency between a hypothesis <span style=""font-style: italic;"">h</span> and a training set <span style=""font-style: italic;"">D</span>?&nbsp;"	"<div>A hypothesis <span style=""font-style: italic;"">h</span> is considered consistent with a training set <span style=""font-style: italic;"">D</span> if it can perfectly approximate the function represented by the data points in <span style=""font-style: italic;"">D</span>.</div><br>"
"What is the ultimate goal in a learning task when a hypothesis space <span style=""font-style: italic;"">H</span> is involved?&nbsp;"	"<div><div><div><div><div><div><div><div><div><div><div><div><div>The ultimate goal is to find the best hypothesis <span style=""font-style: italic;"">h</span> within the hypothesis space <span style=""font-style: italic;"">H</span> that approximates the underlying function <span style=""font-style: italic;"">c</span> accurately, even for data points that are not in the training dataset <span style=""font-style: italic;"">D</span>.</div></div></div></div><div><div><div></div><div></div></div></div></div></div></div></div></div></div></div></div></div><div><div><div><br></div></div></div>"
Define an inductive learning hypothesis	[latex]An inductive learning hypothesis is characterized by the property that if a hypothesis $h$ performs well within the dataset $D$, accurately approximating $c(x_i)$ for all $x_i \in D$, then it is expected to perform well outside the dataset as well. However, for this generalization to hold, the dataset must be representative of the problem domain, ideally being large and diverse.<br>[/latex]
<div>What is a Version Space?</div><br>	<ul><li>The set of all hypotheses consistent with the observed training data, representing where the true concept is likely to lie in the hypothesis space.</li></ul><ul><li>The Version Space consists of hypotheses that are consistent with the dataset, mapping to subsets of instances consistent with the data.</li><li>If every subset of instances can be represented in a Version Space and all solutions are computed, the system is unable to classify new instances, as different hypotheses may yield different results.</li></ul><br>
What is the list-then-eliminate algorithm?	"We call list-then-eliminate algorithm an algorithm that compute the version
<br>space by iterating on all the hypothesis and checking for any if they are
<br>consistent. This in practice is not possible (we can have infinite hypothesis)."
What is a Noisy Data?	Collecting data is difficult and it’s easy to make some mistakes, these called<br><br>noisy data can be into the dataset and so the output is different from the true<br><br>value of the target function. In this case we can have no consistent hypothesis<br><br>so we need statistical methods to remove the noise.
Probability distribution of all possible inputs	[latex]To introduce the notion of performance metrics in ML, we define a probability distribution over X, denoted as Z. Let S be a set of n instances of X sampled with Z. Performance evaluations are based on accuracy and error rate.<br>[/latex]
True error of hypothesis h	"The true error of hypothesis h with respect to target function c and distribution Z is the probability that h will misclassify an instance according to Z.<img src=""paste-f35aacfd072237ab1c1290d9ed4972bc37af8003.jpg"">"
Sample error of hypothesis h	"The sample error of hypothesis h with respect to target function c and data sample S is the number of mistakes that h makes on S.<br><img src=""paste-e997e7800f726a4da79f414a195a74e6742cfc23.jpg"">"
<b>True error&nbsp;</b>vs&nbsp;<b>Sample error</b>	"True error represents a probability of making a mistake when the input is taken from&nbsp;<b>entire distribution</b>. True error can not be computed as we never know c(x).&nbsp;<br><br>Sample error is the number of mistakes h hypothesis makes on data sample (subset of D). It can be computed as we can know the values of the target function c(x) for the samples. The problem is that the true error of the whole distribution might be different.<br><br>Thus we can estimate true error as the goal is to be accurate in&nbsp;<img src=""paste-2b5c500d36ceed31e8890deff5bb80b173b1aa89.jpg"">"
What is Bias?	"The difference between the expected value of the extimator and the true value of the parameter<br><img src=""paste-445f0cd9f318f47e3c07e3d8291ea1204aebe168.jpg""><br>errorS(h) is an estimator of error D(h)"
Unbiased estimator	error<sub>D</sub>(h) is needed to evaluate hypothesis h, but cant be computed.<br>We must use an estimate.<br>The best we can do is to use error<sub>S</sub>(h) (suitably computed ==&gt; 0 bias)<br>Note that error<sub>D</sub>(h): true error<br>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; error<sub>S</sub>(h): Sample error<br><br>Unbiased Estimator:<br><ol><li>Partition data set, let the Training |T|=2/3|D|, who subsets are disjoint.</li><li>Compute a hypothesis h using training set T</li><li>Evaluate sample error&nbsp;[latex]\operatorname{errors}_S(h)=\frac{1}{n} \sum_{x \in S} \delta(f(x) \neq h(x))[/latex]</li></ol><br>
Confidence intervals	At the end of this we can make a statement, with some probability the true error is in an interval defined by the sample error, where these 2 values are defined by a coefficient z<sub>N</sub>&nbsp;.&nbsp;<br>[latex][ \operatorname{error}_S(h) \pm z_N \sqrt{\frac{\operatorname{error}_S(h)(1-\operatorname{error}_S(h))}{n}} ][/latex]
How to compare two hypothesis?	Given two hypothesis h<sub>1</sub>&nbsp;and h<sub>2</sub>&nbsp;<br>[latex]d \equiv \operatorname{error}_{\mathcal{D}}\left(h_1\right)-\operatorname{error}_{\mathcal{D}}\left(h_2\right)[/latex]<br>and its estimator is&nbsp;[latex]\hat{d} \equiv \operatorname{error}_{S_1}\left(h_1\right)-\operatorname{error}_{S_2}\left(h_2\right)[/latex]<br>&nbsp;<br>[latex]$\hat{d}$ is an unbiased estimator for $d$, iff $h_1, h_2, S_1$ and $S_2$ are independent from each other.[/latex]<br><br>Note that still valid if S<sub>1</sub>=S<sub>2</sub>=S
Explain overfitting	Hypothesis h overfits training data if there is an alternative hypothesis h' such that&nbsp;<br>[latex]\operatorname{errors}_S(h)&lt;\operatorname{error}_S\left(h^{\prime}\right)[/latex]<br>and&nbsp;<br>[latex]\operatorname{error}_{\mathcal{D}}(h)&gt;\operatorname{error}_{\mathcal{D}}\left(h^{\prime}\right)[/latex]<br><br>Meaning that sample error of h is lower, but true error is greater than h', so performs well locally, underperforms globally.&nbsp;
How can we evaluate the performance of a learning algorithm?	The performance of a learning algorithm can be evaluated using various metrics, including:<br><br>1. Accuracy: The proportion of correctly classified instances.<br><br>2. Precision: The proportion of true positive predictions among all positive predictions made by the model.<br><br>3. Recall: The proportion of true positive predictions among all actual positive instances in the data.<br><br>4. F1 Score: The harmonic mean of precision and recall, providing a balance between the two metrics.<br><br>5. Confusion Matrix: A table that summarizes the performance of a classification algorithm, showing true positive, true negative, false positive, and false negative predictions.<br><br>6. ROC Curve: A graphical representation of the trade-off between true positive rate and false positive rate at various classification thresholds.<br><br>7. Cross-Validation: A technique for estimating the performance of a model on unseen data by partitioning the dataset into training and validation sets multiple times.<br><br>These metrics help assess the accuracy, robustness, and generalization capability of the learning algorithm.
